job_seed,n_rounds,job_model,job_scheme_types,job_elt_type,"N","time","model","type","backend","elt_type","ESS","median_MC_err"
9,14,LogisticRegression,MCMC,Float64,32,178.373895585,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.825859395464619
9,14,LogisticRegression,MCMC,Float64,64,182.715554185,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.759871332657298
9,14,LogisticRegression,MCMC,Float64,128,198.417710729,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.734562977000526
9,14,LogisticRegression,MCMC,Float64,256,222.497977777,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.697749258592161
9,14,LogisticRegression,MCMC,Float64,512,222.52499476,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.74539075828464
9,14,LogisticRegression,MCMC,Float64,1024,222.996390508,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.74296900454138
9,14,LogisticRegression,MCMC,Float64,2048,223.405876648,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.726863610431767
9,14,LogisticRegression,MCMC,Float64,4096,223.802093633,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.731026597853424
9,14,LogisticRegression,MCMC,Float64,8192,272.854769464,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.736729236182489
9,14,LogisticRegression,MCMC,Float64,16384,322.449744162,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.74603680228011
9,14,LogisticRegression,MCMC,Float64,32768,641.073356294,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.745212605218137
2,11,LogisticRegression,MCMC,Float64,1,11.334331578,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
2,11,LogisticRegression,MCMC,Float64,2,13.167678562,"LogisticRegression",MCMC,GPU,"Float64",2.0,-4.823132711067481
2,11,LogisticRegression,MCMC,Float64,4,14.987725877,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.4002624999779973
2,11,LogisticRegression,MCMC,Float64,8,16.841425609,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.127787798525938
2,11,LogisticRegression,MCMC,Float64,16,19.189982819,"LogisticRegression",MCMC,GPU,"Float64",16.0,-4.93606001559371
2,11,LogisticRegression,MCMC,Float64,32,21.82025184,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.862104230403757
2,11,LogisticRegression,MCMC,Float64,64,22.933364902,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.774559511718794
2,11,LogisticRegression,MCMC,Float64,128,24.300336632,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.810471318905893
2,11,LogisticRegression,MCMC,Float64,256,26.949398083,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.73470342505137
2,11,LogisticRegression,MCMC,Float64,512,27.036528731,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.748279518701253
2,11,LogisticRegression,MCMC,Float64,1024,27.514558181,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.739935766839352
2,11,LogisticRegression,MCMC,Float64,2048,27.017261718,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.750760861101927
2,11,LogisticRegression,MCMC,Float64,4096,27.123034898,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.73936392169294
2,11,LogisticRegression,MCMC,Float64,8192,33.235911441,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.739782494275717
2,11,LogisticRegression,MCMC,Float64,16384,39.025315398,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.737303420633857
2,11,LogisticRegression,MCMC,Float64,32768,77.834221335,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.73840909746459
10,5,LogisticRegression,MCMC,Float64,1,0.196948379,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
10,5,LogisticRegression,MCMC,Float64,2,0.256680246,"LogisticRegression",MCMC,GPU,"Float64",2.0,-3.9847535730798196
10,5,LogisticRegression,MCMC,Float64,4,0.272456083,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.571275940270822
10,5,LogisticRegression,MCMC,Float64,8,0.293695797,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.096898278542846
10,5,LogisticRegression,MCMC,Float64,16,0.351848087,"LogisticRegression",MCMC,GPU,"Float64",16.0,-4.811979199616544
10,5,LogisticRegression,MCMC,Float64,32,0.365159339,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.804411790487095
10,5,LogisticRegression,MCMC,Float64,64,0.36568547,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.770217513500595
10,5,LogisticRegression,MCMC,Float64,128,0.402830009,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.710082290637172
10,5,LogisticRegression,MCMC,Float64,256,0.434676835,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.72649229709387
10,5,LogisticRegression,MCMC,Float64,512,0.43482789,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.742881474309632
10,5,LogisticRegression,MCMC,Float64,1024,0.961857934,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.749319707388935
10,5,LogisticRegression,MCMC,Float64,2048,0.44323682,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.745261302139074
10,5,LogisticRegression,MCMC,Float64,4096,0.439510783,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.741985900681948
10,5,LogisticRegression,MCMC,Float64,8192,0.528592606,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.732114959204967
10,5,LogisticRegression,MCMC,Float64,16384,0.618498112,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.733782706832468
10,5,LogisticRegression,MCMC,Float64,32768,1.241225614,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.727126843817436
8,7,LogisticRegression,MCMC,Float64,1,0.72289579,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
8,7,LogisticRegression,MCMC,Float64,2,0.842037363,"LogisticRegression",MCMC,GPU,"Float64",2.0,-5.222755136582597
8,7,LogisticRegression,MCMC,Float64,4,0.961554284,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.5534701101371837
8,7,LogisticRegression,MCMC,Float64,8,1.092641063,"LogisticRegression",MCMC,GPU,"Float64",8.0,-3.920414541282372
8,7,LogisticRegression,MCMC,Float64,16,1.228714028,"LogisticRegression",MCMC,GPU,"Float64",16.0,-4.7289193067237285
8,7,LogisticRegression,MCMC,Float64,32,1.39572752,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.747538259056178
8,7,LogisticRegression,MCMC,Float64,64,1.392758394,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.74903698301697
8,7,LogisticRegression,MCMC,Float64,128,1.488780383,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.677106723484522
8,7,LogisticRegression,MCMC,Float64,256,1.673772732,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.682976859193374
8,7,LogisticRegression,MCMC,Float64,512,1.678904331,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.710731690732597
8,7,LogisticRegression,MCMC,Float64,1024,2.202760582,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.703863783174333
8,7,LogisticRegression,MCMC,Float64,2048,1.686754003,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.723781719350097
8,7,LogisticRegression,MCMC,Float64,4096,1.686235768,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.737476353162695
8,7,LogisticRegression,MCMC,Float64,8192,2.05362115,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.735758885360584
8,7,LogisticRegression,MCMC,Float64,16384,2.414325744,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.74476016358617
8,7,LogisticRegression,MCMC,Float64,32768,4.836177011,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.740801090116669
6,12,LogisticRegression,MCMC,Float64,1,22.647932332,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
6,12,LogisticRegression,MCMC,Float64,2,26.353447906,"LogisticRegression",MCMC,GPU,"Float64",2.0,-3.9677924742866857
6,12,LogisticRegression,MCMC,Float64,4,30.163429601,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.484282992970322
6,12,LogisticRegression,MCMC,Float64,8,33.868948613,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.200659294645803
6,12,LogisticRegression,MCMC,Float64,16,38.400732286,"LogisticRegression",MCMC,GPU,"Float64",16.0,-4.839241210923617
6,12,LogisticRegression,MCMC,Float64,32,44.114324101,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.725278914876515
6,12,LogisticRegression,MCMC,Float64,64,44.907805453,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.776618864854916
6,12,LogisticRegression,MCMC,Float64,128,48.664115482,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.756853706090897
6,12,LogisticRegression,MCMC,Float64,256,54.107341622,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.748325562330937
6,12,LogisticRegression,MCMC,Float64,512,54.132486905,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.740017421739227
6,12,LogisticRegression,MCMC,Float64,1024,54.983901466,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.718186509408804
6,12,LogisticRegression,MCMC,Float64,2048,54.591848957,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.719658638078783
6,12,LogisticRegression,MCMC,Float64,4096,54.769424829,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.736556864521091
6,12,LogisticRegression,MCMC,Float64,8192,66.456403548,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.740696565180855
6,12,LogisticRegression,MCMC,Float64,16384,78.717939282,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.751242704126712
6,12,LogisticRegression,MCMC,Float64,32768,156.517114266,"LogisticRegression",MCMC,GPU,"Float64",32768.0,-15.747244256445304
8,6,LogisticRegression,MCMC,Float64,1,0.385397913,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
8,6,LogisticRegression,MCMC,Float64,2,0.501700061,"LogisticRegression",MCMC,GPU,"Float64",2.0,-3.442025994070092
8,6,LogisticRegression,MCMC,Float64,4,0.522550771,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.663673679072399
8,6,LogisticRegression,MCMC,Float64,8,0.557606685,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.2393957628926495
