job_seed,job_model,job_elt_type,"N","time","model","type","backend","elt_type","chain_length","max_Rhat","med_Rhat","max_Rhat2","med_Rhat2"
2,LogisticRegression,Float64,16384,18.794282002,"LogisticRegression",MCMC,GPU,"Float64",1000,1.00549578224207,1.0039682653054331,1.0054897248307895,1.0039201445665917
2,LogisticRegression,Float64,32768,37.306159022,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0026744730073045,1.0019356826847616,1.0028485397553284,1.0019207847746165
6,LogisticRegression,Float32,1024,13.802937096,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
6,LogisticRegression,Float32,2048,13.331330508,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
6,LogisticRegression,Float32,4096,13.373497061,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
6,LogisticRegression,Float32,8192,13.404731497,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
6,LogisticRegression,Float32,16384,16.210705451,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
6,LogisticRegression,Float32,32768,31.906698899,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
10,LogisticRegression,Float32,1024,13.766225928,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
10,LogisticRegression,Float32,2048,13.262086974,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
10,LogisticRegression,Float32,4096,13.348679515,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
10,LogisticRegression,Float32,8192,13.521532124,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
10,LogisticRegression,Float32,16384,16.389906288,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
10,LogisticRegression,Float32,32768,31.795428863,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
4,LogisticRegression,Float64,1024,15.034439236,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0268932993807407,1.0143367279187674,1.0301928242870528,1.015005955842847
4,LogisticRegression,Float64,2048,12.953444498,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0139917779405803,1.0074771836254812,1.0152348586999742,1.0075197854875775
4,LogisticRegression,Float64,4096,13.011411165,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0124843329054267,1.007415689236358,1.0125896593942258,1.0075044955255685
4,LogisticRegression,Float64,8192,15.826129901,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0057534219469058,1.0038686258838248,1.00605354458058,1.0038322719306905
4,LogisticRegression,Float64,16384,18.729127562,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0051625692421897,1.0038117225618621,1.0052036812268432,1.0038236760332806
4,LogisticRegression,Float64,32768,37.26704324,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0026650974530393,1.001943159820247,1.002570919120551,1.0019429615258209
5,LogisticRegression,Float64,1024,13.411848407,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0265850046814826,1.0145195373427667,1.026108466721102,1.0149415556610935
5,LogisticRegression,Float64,2048,12.93548389,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0133540241917696,1.0069675549797052,1.014119695341524,1.0074696566599053
5,LogisticRegression,Float64,4096,12.966242345,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0124489080869834,1.0076720172313314,1.0119066660661606,1.0075868355551088
5,LogisticRegression,Float64,8192,15.800178435,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0055658840033277,1.003854214220231,1.0061800757228723,1.0038791349962644
5,LogisticRegression,Float64,16384,18.701042836,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0051597977055977,1.003850049094112,1.0055751946472582,1.003864623871051
5,LogisticRegression,Float64,32768,37.146796693,"LogisticRegression",MCMC,GPU,"Float64",1000,1.002786331629001,1.001930607919584,1.0028104626933523,1.0019239890884548
